Defect ID,Status,Summary,Severity,Detected on Date,Environment,Incident Type,Modified,Closing Date,Root Cause
16,Closed,Unexpected Status changes during Product setup,2,14/9/2015,Development,Defect,13/11/2015 10:43,13/11/2015,Coding Issue
17,Closed,Product sync error,3,14/9/2015,Development,Defect,13/10/2015 13:46,13/10/2015,Design Issue
18,Closed,Sync button does not invoke sync with back end,2,14/9/2015,Development,Defect,13/11/2015 10:52,13/11/2015,Architecture Issue
19,Closed,Clone functionality is partial,3,14/9/2015,Development,Defect,12/12/2015 20:50,12/12/2015,Design Issue
20,Closed,Disconnect between the questionnaire required and  questionnaire age setup,3,14/9/2015,Development,Defect,12/12/2015 20:49,12/12/2015,Environment Issue
21,Closed,Rule 323 - there is not reference to first benefit being mandatory,3,14/9/2015,Development,Defect,13/11/2015 10:43,13/11/2015,Coding Issue
22,Closed,I can remove only mandatory benefit,1,14/9/2015,Development,Defect,13/11/2015 10:43,13/11/2015,Coding Issue
23,Closed,Unable to set up Multi Trip products,1,14/9/2015,Development,Defect,13/11/2015 10:44,13/11/2015,Environment Issue
24,Closed,Program can be set without status,2,14/9/2015,Development,Defect,7/10/2015 12:47,7/10/2015,Requirement Issue - Inadequate/Missing Requirement
25,Closed,I am able to inactivate programs associated with the plans,1,14/9/2015,Development,Defect,13/11/2015 10:44,13/11/2015,Coding Issue
26,Closed,Unable to change data on Wynsure products,1,14/9/2015,Development,Defect,7/10/2015 12:45,7/10/2015,Coding Issue
27,Closed,Status on the product is not set up correctly,1,14/9/2015,Development,Defect,13/11/2015 10:45,13/11/2015,Requirement Issue - Change in Requirement
28,Rejected,"Search uses 3 char, but error msg says 2",3,16/9/2015,Development,Defect,21/9/2015 21:18,22/9/2015,Environment Issue
29,Closed,Update contract line error message,4,18/9/2015,Development,Defect,22/9/2015 14:51,22/9/2015,Requirement Issue - Change in Requirement
30,Closed,"[TM3_Product_Module] : I/O Exception on clicking ""Sync"" button for ""New Program""",1,21/9/2015,Test/SIT,Defect,7/12/2015 5:30,22/9/2015,Environment Issue
31,Closed,"[TM3_Product_Module] :Product Module : Unable to setup Expiry Date to support Migration and Relaunch for Deductibles in ""Premium Adjustments""",2,21/9/2015,Test/SIT,Defect,7/12/2015 5:30,26/10/2015,Requirement Issue - Change in Requirement
33,Closed,[TM3_Product_Module] : Duplicate entries are made to TRIP DB for Plan Class,2,21/9/2015,Test/SIT,Defect,7/12/2015 5:30,15/10/2015,Environment Issue
34,Closed,TM3_Product_Module : Unable to Save ?Eligibility Qualifier? and ?Traveller Type? for newly created Product in TRIP,1,22/9/2015,Test/SIT,Defect,15/10/2015 3:43,15/10/2015,Build & Configuration Related Issue
35,Closed,"TM3_Product_Module : There is no text displayed for ""Validation"" and ""Error Messages"" for newly created Product",2,22/9/2015,Test/SIT,Watch List,26/10/2015 1:13,26/10/2015,Design Issue
36,Closed,"TM3_Product_Module : Unable to Save Product Details data In TRIP DB upon clicking ""Sync"" button",1,22/9/2015,Test/SIT,Defect,15/10/2015 4:38,15/10/2015,Build & Configuration Related Issue
37,Closed,TM3_Product_Module : Displaying Wrong error message description while creating same product class in TRIP Application,4,22/9/2015,Test/SIT,Defect,16/10/2015 2:03,16/10/2015,Coding Issue
38,Closed,"TM3_Product_Module : ""Product Class Code"" and ""Product Class Name"" is displaying as text box field instead of showing as Picklist field  in Product Class detail screen",3,22/9/2015,Test/SIT,Defect,13/10/2015 3:09,13/10/2015,Requirement Issue - Inadequate/Missing Requirement
39,Closed,TM3_Product_Module : System is accepting value other than 2 decimal place while saving a new Premium Adjustments,3,22/9/2015,Test/SIT,Watch List,13/10/2015 2:37,2/10/2015,Requirement Issue - Change in Requirement
40,Closed,PI&C: Error When Clicking on Policy Change button. Cannot proceed.,3,22/9/2015,Development,Defect,25/9/2015 7:48,25/9/2015,Build & Configuration Related Issue
41,Closed,PI&C: I No Longer See The Asset Extension Object?,3,22/9/2015,Development,Defect,25/10/2015 13:23,2/10/2015,Build & Configuration Related Issue
42,Closed,"TM3_Product_Module : Question ID is missing in following error message : ""This question already exists""",2,23/9/2015,Test/SIT,Defect,13/10/2015 3:15,13/10/2015,Coding Issue
43,Closed,TM3_Product_Module : ?Asset contact Field is not getting displayed in ?Medical Question Response? screen,2,23/9/2015,Test/SIT,Defect,16/11/2015 11:05,16/11/2015,Build & Configuration Related Issue
44,Closed,Not able to perform a quote through policy service,2,23/9/2015,Development,Defect,2/10/2015 7:20,2/10/2015,Environment Issue
45,Closed,TM3_Product_Module : Receiving Error message while creating Medical Question Section in TRIP Application,1,23/9/2015,Test/SIT,Defect,12/11/2015 14:29,12/11/2015,Coding Issue
46,Closed,TM3_Product_Module : Receiving Error message upon clicking on ?Activate? button for searched Product in TRIP Application,2,23/9/2015,Test/SIT,Watch List,13/10/2015 3:30,13/10/2015,Environment Issue
47,Closed,Fail to sync Program record to backend,2,23/9/2015,Development,Defect,2/10/2015 7:20,2/10/2015,Coding Issue
48,Closed,PI&C: Policy Change takes me to the SF Home Page,3,22/9/2015,Development,Defect,7/12/2015 8:23,9/10/2015,Test Data Issue - Invalid Test Data
49,Closed,PI&C: Moving of Cancel and Reinstate buttons,3,24/9/2015,Development,Defect,12/12/2015 20:51,12/12/2015,Build & Configuration Related Issue
50,Closed,PI&C: Rename Asset Extension?,3,24/9/2015,Development,Defect,12/12/2015 20:52,12/12/2015,Build & Configuration Related Issue
51,Closed,PI&C: Update Search Results,3,24/9/2015,Development,Defect,7/12/2015 8:22,9/10/2015,Build & Configuration Related Issue
52,Closed,PI&C: Link to Original Opportunity is Missing,3,24/9/2015,Development,Defect,7/12/2015 10:18,7/12/2015,Coding Issue
53,Closed,PI&C: Family Members - How will we list them?,3,24/9/2015,Development,Defect,12/12/2015 20:47,12/12/2015,Build & Configuration Related Issue
54,Closed,PI&C: Field Changes,3,24/9/2015,Development,Defect,7/12/2015 10:18,7/12/2015,Coding Issue
55,Closed,PI&C: Updates to Payments,3,25/9/2015,Development,Defect,16/12/2015 19:16,16/12/2015,Coding Issue
56,Closed,PI&C: Changes to the Contact Info,3,25/9/2015,Development,Defect,7/12/2015 8:24,9/10/2015,Design Issue
57,Closed,PI&C: Policies to Enter in SF,3,25/9/2015,Development,Defect,7/12/2015 10:19,7/12/2015,Coding Issue
58,Closed,PI&C: Permission Error on Add Attachment,3,25/9/2015,Development,Defect,7/12/2015 10:21,7/12/2015,Coding Issue
59,Closed,PI&C: I no longer see the Automated Approval History,3,28/9/2015,Development,Defect,7/12/2015 10:22,7/12/2015,Coding Issue
60,Closed,PI&C: Global Search Not Returning Results,2,28/9/2015,Development,Defect,16/12/2015 14:28,9/10/2015,Environment Issue
61,Closed,PI&C: Policy Edit - Not all Fields Should be Editable,3,28/9/2015,Development,Defect,7/12/2015 10:22,7/12/2015,Coding Issue
62,Closed,PI&C: Remove buttons from Contact Details,3,1/10/2015,Development,Defect,7/12/2015 10:24,7/12/2015,Build & Configuration Related Issue
63,Closed,PI&C: Please Remove the Edit/Clone buttons from the Benefit Breakdown screens,3,6/10/2015,Development,Defect,16/12/2015 19:15,16/12/2015,Design Issue
64,Closed,PI&C: Update Benefit Breakdown Object Name,3,6/10/2015,Development,Defect,7/12/2015 10:25,7/12/2015,Coding Issue
65,Closed,[TM3_Product_Module_Clarification] Sync Failure on Premium Adjustments in SIT,1,11/10/2015,Test/SIT,Defect,1/11/2015 22:00,2/11/2015,Database Issue
66,Closed,[TM3_Product_Module] The field type mentioned in the requirement does not match with that of the application.,3,12/10/2015,Test/SIT,Defect,15/10/2015 4:17,15/10/2015,Requirement Issue - Inadequate/Missing Requirement
67,Closed,"TM3_Product_Module : Effective date and Expiry Date field not found in ""New Med Question Section"" page.",2,12/10/2015,Test/SIT,Defect,16/10/2015 0:06,16/10/2015,Requirement Issue - Change in Requirement
68,Closed,"[TM3_Product_Module] The Calendar Year in the EffectiveDate,InceptionDate and ExpiryDate fields are not showing full date range in the eligibility Quallifier screen.",3,12/10/2015,Test/SIT,Defect,26/10/2015 11:33,26/10/2015,Requirement Issue - Ambiguous/Unclear Requirement
69,Closed,[TM3_Product_Module] Age calculation type field in Eligibility Qualifier screen is not showing 'None' as the default value.,3,12/10/2015,Test/SIT,Defect,15/10/2015 4:26,15/10/2015,Requirement Issue - Change in Requirement
70,Closed,[TM3_Product_Module] Premium Adjustment_Mandatory fields mismatch.,2,12/10/2015,Test/SIT,Defect,15/10/2015 23:12,16/10/2015,Requirement Issue - Change in Requirement
71,Closed,[TM3_Product_Module_Clarification] The Family Maximum Age field when given an age less than the medical questionaire Age in eligibility qualifier screen gives an error message.,3,12/10/2015,Test/SIT,Defect,28/10/2015 12:37,23/10/2015,Requirement Issue - Change in Requirement
72,Closed,[TM3_Product_Module] Earliest purchase days value when set up greater than the latest purchase days field the system does not give an error message.,3,12/10/2015,Test/SIT,Defect,14/10/2015 5:52,14/10/2015,Test Plan issue - Invalid Test Case
73,Closed,[TM3_Product_Module] : Duplicate Entries in Program table,3,12/10/2015,Test/SIT,Defect,26/10/2015 14:19,26/10/2015,Coding Issue
74,Closed,[TM3_Product_Module] : Discrepancy in System Information on Program and Account screens,3,12/10/2015,Test/SIT,Defect,6/11/2015 14:29,6/11/2015,Coding Issue
75,Closed,[TM3_Product_Module] : Spelling needs to be corrected in the context sensitive help on Medical Questions Section screen,4,12/10/2015,Test/SIT,Defect,15/10/2015 6:40,15/10/2015,Build & Configuration Related Issue
76,Closed,"[TM3_Product_Module] : Upon clicking on ""New"" button, Cursor moves to ""Rate Percent"" text box field instead of ""Province"" field.",4,12/10/2015,Test/SIT,Defect,29/10/2015 3:52,29/10/2015,Requirement Issue - Change in Requirement
77,Closed,"[TM3_Product_Module] "" Benefit Offering "" screen_Date fields missing.",2,12/10/2015,Test/SIT,Defect,13/10/2015 23:27,14/10/2015,Requirement Issue - Inadequate/Missing Requirement
78,Closed,[TM3_Product_Module] - User is able to set up Same Tax Rate percentage for a combination of Province and Coverage Tax Type  .,2,13/10/2015,Test/SIT,Defect,16/10/2015 2:38,16/10/2015,Requirement Issue - Change in Requirement
79,Closed,"[TM3_Product_Module] : Requirement mismatch with Application. Tax ""Effective Date"" get displayed as Mandatory field.",4,13/10/2015,Test/SIT,Defect,16/10/2015 0:08,16/10/2015,Requirement Issue - Inadequate/Missing Requirement
80,Closed,[TM3_Product_Module] The data is not getting saved in TRIP database when a new record is added after deleting the same record.,2,13/10/2015,Test/SIT,Defect,29/10/2015 0:12,29/10/2015,Coding Issue
81,Closed,[TM3_Product_Module] Global Search not retrieving results.,3,12/10/2015,Test/SIT,Watch List,16/11/2015 10:40,16/11/2015,Coding Issue
82,Closed,[TM3_Product_Module] Global Search retrieving irrelevant results.,3,13/10/2015,Test/SIT,Defect,26/10/2015 11:34,26/10/2015,Requirement Issue - Ambiguous/Unclear Requirement
83,Closed,[TM3_Product_Setup] Unable to connect product with a Benefit Offering in product Benefit offering section.,2,13/10/2015,Test/SIT,Defect,29/10/2015 4:46,29/10/2015,Testing Issue - User Error
84,Closed,[TM3_Product_Module] Global search not working for French,2,13/10/2015,Test/SIT,Watch List,12/11/2015 21:21,13/11/2015,Environment Issue
85,Closed,"[TM3_Product_Module] ""Back to List"" option is Not available in the page",3,14/10/2015,Test/SIT,Watch List,16/11/2015 7:14,16/11/2015,Testing Issue - Incorrect or Lack of Understanding of Rqmt
86,Closed,[TM3_Product_Module] The inception date column is showing as enabled for future versions of the product.,3,13/10/2015,Test/SIT,Defect,29/10/2015 4:43,29/10/2015,Requirement Issue - Change in Requirement
87,Closed,"[TM3_Product_Module] : Without clicking on Sync Button, Validation field is getting Displayed as ""Passed"" on Edit a ProductClass",2,14/10/2015,Test/SIT,Defect,26/10/2015 1:12,26/10/2015,Coding Issue
88,Closed,[TM3_Product_Module] The termination run off days column is not disabled when the expiry date column is set to Null,3,14/10/2015,Test/SIT,Defect,29/10/2015 4:43,29/10/2015,Requirement Issue - Change in Requirement
89,Closed,[TM3_Product_Module] Search functionality,3,14/10/2015,Test/SIT,Defect,19/10/2015 1:39,19/10/2015,Environment Issue
90,Closed,[TM3_Product_Module]If the user attempts to set up the same Product (same Product code and status = ?New?) the system does not display the following message: ?This Product <Product code> already exists.?,3,14/10/2015,Test/SIT,Defect,26/10/2015 5:32,26/10/2015,Requirement Issue - Change in Requirement
91,Closed,"[TM3_Product_Module] : Edit being Saved and Synced for ""Inactive"" or ""Closed"" products",2,14/10/2015,Test/SIT,Defect,17/11/2015 12:46,17/11/2015,Build & Configuration Related Issue
92,Closed,"[TM3_Product_Module] The Application gives a ""Workflow Action Failed to trigger a flow"" error while setting up a product translation",2,14/10/2015,Test/SIT,Defect,3/11/2015 22:56,4/11/2015,Build & Configuration Related Issue
93,Closed,[TM3_Product_Module]  The default value in the translated field is set to 'NONE' whereas the default value is Product name in the requirement for Product translation page,3,14/10/2015,Test/SIT,Defect,26/10/2015 5:32,26/10/2015,Build & Configuration Related Issue
94,Closed,[Watchlist TM3_Product_Module] : I/O Exception while sync operation for New Program. Record is still saved in TRIP DB,4,14/10/2015,Test/SIT,Watch List,27/12/2015 15:45,27/12/2015,Environment Issue
95,Closed,[TM3_Product_Module] : Decimal values in ?Deductible? field is not getting saved in TRIP Application and Database,3,15/10/2015,Test/SIT,Watch List,26/10/2015 0:09,26/10/2015,Build & Configuration Related Issue
96,Closed,[TM3_Product_Module] : Multiple editable fields for a Product in 'Active' status,2,15/10/2015,Test/SIT,Defect,7/12/2015 5:18,29/10/2015,Build & Configuration Related Issue
97,Closed,[TM3_Product_Module] All the benefit offering setup is not getting displayed in the lookup when a benefit offering is searched from the Benefit offering field in the Product benefit Offering screen.,3,15/10/2015,Test/SIT,Defect,26/10/2015 5:32,26/10/2015,Environment Issue
98,Closed,[TM3_Product_Module] - Multiple users are allowed to edit Product simultaneously,2,15/10/2015,Test/SIT,Defect,7/12/2015 5:18,16/10/2015,Environment Issue
99,Closed,[TM3_Product_Module] :Error shown on editing Premium Adjustment,3,15/10/2015,Test/SIT,Defect,29/10/2015 10:42,29/10/2015,Build & Configuration Related Issue
100,Closed,[TM3_Product_Module] 'Status' field is not showing as mandatory field for Product,3,15/10/2015,Test/SIT,Defect,7/12/2015 5:18,4/11/2015,Build & Configuration Related Issue
101,Closed,"[TM3_Product_Module] : ""Premium Adjustment Translation"" screen fields.",3,15/10/2015,Test/SIT,Defect,19/10/2015 0:11,19/10/2015,Requirement Issue - Change in Requirement
102,Closed,"[TM3_Product_Module] : Upon clicking Sync button, updated data is not getting reflected in TRIP Database for Product Object.",1,15/10/2015,Test/SIT,Defect,12/11/2015 23:48,13/11/2015,Design Issue
103,Closed,[TM3_Product_Module] Unable to Edit a Product- showing similar Error message for every change,1,15/10/2015,Test/SIT,Defect,7/12/2015 5:18,26/10/2015,Coding Issue
104,Closed,[TM3_Product_Module] Mismatch in bahaviour of two varchar fields in Product Class page,3,15/10/2015,Test/SIT,Defect,7/12/2015 5:18,20/10/2015,Coding Issue
105,Closed,[TM3_Product_Module] The Benefit offering when set up second time for a particular product gives an exception,2,16/10/2015,Test/SIT,Watch List,3/11/2015 23:37,4/11/2015,Coding Issue
106,Closed,[TM3_Product_Module] :There should be one Back button available in every Object in TRIP Application.,3,16/10/2015,Test/SIT,Watch List,7/12/2015 5:24,20/10/2015,Coding Issue
107,Closed,"[TM3_Product_Module] When multiple mandatory benefit offering with BO TYPE as medical,non medical,non taxable is set up the BO type is set to non medical whereas the status should be Combo",3,16/10/2015,Test/SIT,Defect,29/10/2015 4:43,29/10/2015,Requirement Issue - Change in Requirement
108,Closed,"[TM3_Product_Module] : Assistance and Claim Indicator fields in TPA_Program table are always ""0""",2,16/10/2015,Test/SIT,Defect,7/12/2015 5:24,26/10/2015,Requirement Issue - Change in Requirement
109,Closed,"[TM3_Product_Module] : ""Foreign Key constraint violation on Delete"" error is displayed on syncing Benefit Offerings after creating New Product Allocation",2,16/10/2015,Test/SIT,Defect,12/11/2015 10:23,12/11/2015,Coding Issue
110,Closed,[TM3_Product_Module] : Benefit Offering error message not correct,4,16/10/2015,Development,Defect,12/11/2015 21:13,13/11/2015,Coding Issue
111,Deferred,[TM3_Product_Module] : FK constraints violation during sync,3,20/10/2015,Test/SIT,Defect,7/12/2015 13:12,13/11/2015,Coding Issue
112,Open,[TM3_Product_Module] : Product allocation duplicated during sync,3,20/10/2015,Development,Watch List,12/11/2015 21:05,,
113,Closed,[TM3_Product_Module]: Premium Adjustment - TC-01 has not pass validation. error during sync of an Benefit Offering Detail,3,21/10/2015,Test/SIT,Defect,7/12/2015 5:30,27/10/2015,Test Plan issue - Invalid Test Case
114,Closed,[TM3 Product Module] : Product Benefit Offering error message,3,21/10/2015,Development,Defect,13/11/2015 10:51,13/11/2015,Requirement Issue - Change in Requirement
115,Closed,PI&C: Please Remove Notes from all Asset and Opportunity Screens,3,22/10/2015,Development,Defect,7/12/2015 10:26,7/12/2015,Coding Issue
116,Closed,PI&C: Clone Button,3,22/10/2015,Development,Defect,7/12/2015 10:25,7/12/2015,Coding Issue
117,Closed,PI&C: Payment Details Page - PCI Button,3,22/10/2015,Development,Defect,7/12/2015 10:39,7/12/2015,Coding Issue
118,Closed,[TM3_Product_Module] : Minimum Age unit is not considered during validation in Eligibility Qualifiers,2,23/10/2015,Test/SIT,Defect,6/11/2015 14:18,6/11/2015,Coding Issue
119,Closed,[TM3_Product_Module] : Unable to save new premium adjustment details with Past effective date.,2,25/10/2015,Test/SIT,Defect,29/10/2015 4:00,29/10/2015,Build & Configuration Related Issue
120,Closed,[TM3_Product_Module] Traveller type cannot be added to a product having effective date as today's date.,3,26/10/2015,Test/SIT,Defect,7/12/2015 5:22,29/10/2015,Build & Configuration Related Issue
121,Closed,[TM3_Product_Module] Change history is not being updated in Salesforce History section,2,26/10/2015,Test/SIT,Defect,7/12/2015 5:21,18/11/2015,Build & Configuration Related Issue
122,Closed,[TM3_Product_Module] : Clone button is not visible for Accounts and Product Allocations object in TRIP Application,3,25/10/2015,Test/SIT,Defect,29/10/2015 4:37,29/10/2015,Requirement Issue - Change in Requirement
123,Closed,[TM3_Product_Module] Benefit Offering name is allowing more than 50 characters,3,27/10/2015,Test/SIT,Defect,7/12/2015 5:19,10/11/2015,Requirement Issue - Change in Requirement
124,Closed,[TM3_Product_Module] The account translation fields when edited is not getting reflected in the account history screen.,2,26/10/2015,Test/SIT,Defect,18/11/2015 23:18,19/11/2015,Build & Configuration Related Issue
125,Closed,[TM3_Product_Module] Showing Exception error on clickingb Sync button in Benefit Offering screen,2,27/10/2015,Test/SIT,Defect,7/12/2015 5:19,4/11/2015,Database Issue
126,Closed,[TM3_Product_Module] Inception Date should not be greater than Effective Date for a New product,2,27/10/2015,Test/SIT,Defect,7/12/2015 5:19,18/11/2015,Build & Configuration Related Issue
127,Closed,[TM3_Product_Module] There is no contract and contract line item table in database where the data should be stored after a contract or a contract line item is edited in salesforce.,3,27/10/2015,Test/SIT,Watch List,7/12/2015 13:42,7/12/2015,Build & Configuration Related Issue
128,Closed,[TM3_Product_Module] The Audit history section does not appear in the Multitripduration section,3,27/10/2015,Test/SIT,Defect,4/11/2015 3:39,4/11/2015,Build & Configuration Related Issue
129,Closed,[TM3_Product_Module] 'Account Name' field is disabled in Contract screen,3,28/10/2015,Test/SIT,Defect,7/12/2015 5:19,29/10/2015,Requirement Issue - Inadequate/Missing Requirement
130,Closed,[TM3_Product_Module] : Cascade Delete Functionality_Receiving SOAP fault error message while deleting a Benefit Offering with a product allocation.,3,29/10/2015,Test/SIT,Defect,13/11/2015 8:58,13/11/2015,Coding Issue
131,Closed,[TM3_Product_Module] Unable to set up historical data as System does not accept Expiry date that is less than system date,1,30/10/2015,Test/SIT,Defect,7/12/2015 5:22,4/11/2015,Requirement Issue - Change in Requirement
132,Closed,[TM3_Product_Module] Lookup is not showing all the data set up done by other users,3,30/10/2015,Test/SIT,Defect,7/12/2015 5:21,2/11/2015,Coding Issue
133,Closed,[TM3_Product_Module] : Clone Funtionality Defect - User is able to setup  same Rate category for selected Product_BenefitOffering,3,30/10/2015,Test/SIT,Defect,3/11/2015 22:59,4/11/2015,Requirement Issue - Inadequate/Missing Requirement
134,Closed,[TM3_Product_Module]] Sync Error for New Program Translation,2,30/10/2015,Test/SIT,Defect,7/12/2015 5:21,2/11/2015,Coding Issue
135,Closed,[TM3_Product_Module] : Requirement Defect - PROD01-FR341 - Delete button must be enabled for <Entity Name>,3,30/10/2015,Test/SIT,Defect,6/11/2015 15:04,6/11/2015,Requirement Issue - Ambiguous/Unclear Requirement
136,Deferred,Incorrect language handling in some service calls,3,1/11/2015,Development,Defect,12/11/2015 14:08,12/11/2015,Coding Issue
137,Closed,"[TM3_Product_Module] : ""Toll Free Number"" and ""Collect to Canada Number"" is getting displayed as Mandatory Field which does not satisfy requirement",3,1/11/2015,Test/SIT,Defect,12/11/2015 10:45,12/11/2015,Build & Configuration Related Issue
138,Closed,[TM3_Product_Module] : Error Message displayed in TRIP Application is not matching with Requirement while adding one Benefit offering with a Product.,3,1/11/2015,Test/SIT,Defect,12/11/2015 10:16,12/11/2015,Requirement Issue - Change in Requirement
139,Closed,[TM3_Product_Module]: Product Allocation Category name does not get displayed properly in Error Message,3,1/11/2015,Test/SIT,Defect,12/11/2015 22:45,13/11/2015,Coding Issue
140,Closed,[TM3_Product_Module]Effective Date should Not be a mandatory field in Product Benefit Offering page,4,2/11/2015,Test/SIT,Defect,7/12/2015 5:22,4/11/2015,Requirement Issue - Change in Requirement
141,Closed,[TM3_Product_Module] : Program Short Name is getting displayed instead of Program Name in Error message while creating new Program with existing Program details,3,2/11/2015,Test/SIT,Defect,12/11/2015 23:07,13/11/2015,Requirement Issue - Change in Requirement
142,Closed,[TM3_Product_Module] : Error shown on saving Edit to Premium Adjustment Translation,2,2/11/2015,Test/SIT,Defect,3/11/2015 22:50,4/11/2015,Build & Configuration Related Issue
143,Closed,"[TM3_Product_Module] : ""Record Type"" field missing in Product Translation",2,2/11/2015,Test/SIT,Defect,6/11/2015 15:05,6/11/2015,Requirement Issue - Change in Requirement
144,Closed,"[TM3 Product Module] : Eligibility Qualifiers :  Error message thrown on Family Max age, even when it is between Min and Max age",2,2/11/2015,Development,Defect,6/11/2015 14:27,6/11/2015,Coding Issue
145,Closed,[TM3_Product_Module] : Disconnect Functionality needs to be detailed in Product Specification Doc,3,2/11/2015,Test/SIT,Defect,7/12/2015 5:17,13/11/2015,Requirement Issue - Ambiguous/Unclear Requirement
146,Closed,[TM3_Product_Module] The contract field in the contract line item screen is enabled when an account is connected to a program via a contract but in requirement its mentioned as disabled.,3,3/11/2015,Test/SIT,Defect,6/11/2015 15:05,6/11/2015,Requirement Issue - Change in Requirement
147,Duplicate,[TM3_Product_Module] The assistance and claim indicator when set in an account is not getting reflected in program.TPA_program table in the database.,3,3/11/2015,Test/SIT,Defect,3/11/2015 4:54,3/11/2015,Requirement Issue - Change in Requirement
148,Closed,[TM3_Product_Module] There is no 'Product Programs? section displayed in the products page.,3,3/11/2015,Test/SIT,Defect,6/11/2015 15:05,6/11/2015,Requirement Issue - Change in Requirement
149,Closed,[TM3_Product_Module] The 'Program' field is not disabled in the product program screen as mentioned in requirement PROD01-FR0169,3,3/11/2015,Test/SIT,Defect,16/11/2015 8:12,16/11/2015,Architecture Issue
150,Closed,[TM3_Product_Module]: Syncing with back end not invoked on product allocation updates,2,3/11/2015,Test/SIT,Defect,13/11/2015 0:35,13/11/2015,Build & Configuration Related Issue
151,Closed,[TM3_Product_Module]: Audit timestamps in TRIP database on delete,3,3/11/2015,Test/SIT,Defect,13/11/2015 9:13,13/11/2015,Coding Issue
152,Closed,[TM3_Product_Module]: Sync data with the deleted entry never synced to the TRIP database,2,3/11/2015,Test/SIT,Defect,13/11/2015 11:49,13/11/2015,Coding Issue
153,Closed,[TM3_Product_Module]: Missing product allocation coverage type,3,3/11/2015,Test/SIT,Defect,12/11/2015 8:53,12/11/2015,Build & Configuration Related Issue
154,Closed,[TM3_Product_Module] When a second  benefit offering is edited from mandatory to non mandatory in a product the system gives an error message during sync.,3,4/11/2015,Test/SIT,Defect,16/11/2015 7:18,16/11/2015,Build & Configuration Related Issue
155,Closed,[TM3_Product_Module] Unable to add Benefit Offering with a Product in 'New' status,2,4/11/2015,Test/SIT,Defect,7/12/2015 5:17,16/11/2015,Build & Configuration Related Issue
156,Closed,[TM3_Product_Module] The change history is not getting reflected in Poduct Allocation categoryscreen.,3,4/11/2015,Test/SIT,Defect,12/11/2015 11:21,12/11/2015,Build & Configuration Related Issue
157,Duplicate,"[TM3_Product_Module] Error message is Not correct when ""Benefit Offering is Mandatory"" field is unchecked",4,4/11/2015,Test/SIT,Defect,7/12/2015 5:17,4/11/2015,Testing Issue - User Error
158,Closed,[TM3_Product_Module] Sytem is showing error message while trying to edit a benefit offering associated with product,2,4/11/2015,Test/SIT,Defect,7/12/2015 5:17,16/11/2015,Build & Configuration Related Issue
159,Closed,[TM3_Product_Module] The Sync button is not present in the region availability screen and the records are not getting saved in the database,3,4/11/2015,Test/SIT,Defect,16/11/2015 10:35,16/11/2015,Build & Configuration Related Issue
160,Closed,[TM3_Migration] : Data mismatch in stg.WynsureProductIntermediate table and WYNSURE UAT,2,4/11/2015,Development,Defect,27/12/2015 15:47,27/12/2015,Coding Issue
161,Closed,[TM3_Product] Grammatical error in Error message,4,5/11/2015,Test/SIT,Defect,7/12/2015 5:16,12/11/2015,Coding Issue
162,Closed,"[TM3_Migration] : Collapsing Logic on ""Base"" column need to be investigated",2,5/11/2015,Development,Defect,13/1/2016 6:14,13/1/2016,Design Issue
